date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:04	65091/65091	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2010:06:02%20GMT	https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today	C:/Users/91826/Desktop/clg/lfe/blog/blog/ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today.html	(from )
16:10:05	23/23	---M--	200	added ('OK')	text/plain	date:Sat,%2014%20Sep%202024%2010:40:05%20GMT	https://ujjwl-145421854.hubspotpagebuilder.eu/robots.txt		(from )
16:10:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Sep%202024%2010:40:05%20GMT	http://cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1726237959927/hubspot/growth/css/main.min.css	C:/Users/91826/Desktop/clg/lfe/blog/blog/cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1726237959927/hubspot/growth/css/main.min.1.delayed	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Sep%202024%2010:40:06%20GMT	http://cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1726237974520/hubspot/growth/css/templates/blog-post.min.css	C:/Users/91826/Desktop/clg/lfe/blog/blog/cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1726237974520/hubspot/growth/css/templates/blog-post.min.css	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:07	17043/17043	---MCZ	200	added ('OK')	text/css	etag:W/%22d0e7df6813bc818d4eb068fb64464433%22	https://cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1726237959927/hubspot/growth/css/main.min.css	C:/Users/91826/Desktop/clg/lfe/blog/blog/cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1726237959927/hubspot/growth/css/main.min.css	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:09	638/638	---MCZ	200	added ('OK')	text/css	etag:W/%22b06f7a6b8f966a3a09b287dee272d1da%22	https://cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1726237974520/hubspot/growth/css/templates/blog-post.min.css	C:/Users/91826/Desktop/clg/lfe/blog/blog/cdn2.hubspot.net/hub/7052064/hub_generated/template_assets/1726237974520/hubspot/growth/css/templates/blog-post.min.css	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:10	215/215	---MCZ	200	added ('OK')	text/css	etag:W/%22f1ae4198ce4b049384f259bb50ec28e6%22	https://cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-48321643543/1726238237105/module_-48321643543_Social_sharing.min.css	C:/Users/91826/Desktop/clg/lfe/blog/blog/cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-48321643543/1726238237105/module_-48321643543_Social_sharing.min.css	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:11	1106/1106	---MCZ	200	added ('OK')	text/css	etag:W/%226b1d31d121f4c84e5ee3b7d7446495d8%22	https://ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/AsyncSupport/static-1.122/sass/comments_listing_asset.css	C:/Users/91826/Desktop/clg/lfe/blog/blog/ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/AsyncSupport/static-1.122/sass/comments_listing_asset.css	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:11	149/149	---MCZ	200	added ('OK')	text/css	etag:W/%225fa495e5de52833a631ecae92d8830d3%22	https://cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-47160432302/1726238233956/module_-47160432302_Social_follow.min.css	C:/Users/91826/Desktop/clg/lfe/blog/blog/cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-47160432302/1726238233956/module_-47160432302_Social_follow.min.css	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:13	6172/6172	---MCZ	200	added ('OK')	text/css	etag:W/%2265806cc0ba70516e6b234221657321ef%22	https://139786597.fs1.hubspotusercontent-eu1.net/hubfs/139786597/raw_assets/media-default-modules/master/376/js_client_assets/assets/TrackPlayAnalytics-b0403829.css	C:/Users/91826/Desktop/clg/lfe/blog/blog/139786597.fs1.hubspotusercontent-eu1.net/hubfs/139786597/raw_assets/media-default-modules/master/376/js_client_assets/assets/TrackPlayAnalytics-b0403829.css	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:14	2746/2746	---MCZ	200	added ('OK')	text/css	etag:W/%22983d8d84588e7c3f88e069694360be07%22	https://139786597.fs1.hubspotusercontent-eu1.net/hubfs/139786597/raw_assets/media-default-modules/master/376/js_client_assets/assets/Tooltip-4a948cad.css	C:/Users/91826/Desktop/clg/lfe/blog/blog/139786597.fs1.hubspotusercontent-eu1.net/hubfs/139786597/raw_assets/media-default-modules/master/376/js_client_assets/assets/Tooltip-4a948cad.css	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:16	65091/65091	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2010:06:02%20GMT	https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today?hs_amp=true	C:/Users/91826/Desktop/clg/lfe/blog/blog/ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today3d9f.html	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:19	2017/2017	---MCZ	200	added ('OK')	text/xml	etag:W/%226d8476e29736088b48f219f2ff2a38b9%22	https://ujjwl-145421854.hubspotpagebuilder.eu/blog/rss.xml	C:/Users/91826/Desktop/clg/lfe/blog/blog/ujjwl-145421854.hubspotpagebuilder.eu/blog/rss.xml	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
